"GO\Core\Cron\Model\Job";Systeemtaak;/core/language/nl.js
"Group management";"Groepen beheer";/core/language/nl.js
"User management";Gebruikersbeheer;/core/language/nl.js
"Custom fields";"Extra velden";/core/language/nl.js
Announcements;Berichten;/core/language/nl.js
Yes;Ja;/core/language/nl.js
No;Nee;/core/language/nl.js
Edit;Bewerken;/core/language/nl.js
Continue;Doorgaan;/core/language/nl.js
Delete;Verwijderen;/core/language/nl.js
Cancel;Annuleren;/core/language/nl.js
Save;Opslaan;/core/language/nl.js
Back;Terug;/core/language/nl.js
OK;OK;/core/language/nl.js
Search;Zoeken;/core/language/nl.js
Login;Inloggen;/core/language/nl.js
Username;Gebruikersnaam;/core/language/nl.js
Password;Wachtwoord;/core/language/nl.js
"Login to GroupOffice";"Inloggen bij GroupOffice";/core/language/nl.js
"Access denied";"Geen toegang";/core/language/nl.js
"Are you sure you want to delete '{name}'?";"Weet u zeker dat u '{name}' wilt verwijderen?";/core/language/nl.js
Share;Delen;/core/language/nl.js
Group;Groep;/core/language/nl.js
Loading...;"Bezig met laden...";/core/language/nl.js
"Remember my login";"Onthoud mijn login";/core/language/nl.js
"Field set";"Groep velden";/core/language/nl.js
Name;Naam;/core/language/nl.js
Model;Model;/core/language/nl.js
Fields;Velden;/core/language/nl.js
Field;Veld;/core/language/nl.js
Type;Type;/core/language/nl.js
"Database name";"Database naam";/core/language/nl.js
"Default value";Standaardwaarde;/core/language/nl.js
Placeholder;Placeholder;/core/language/nl.js
"Field is required";"Vereist veld";/core/language/nl.js
"Field can be filtered on";"Op dit veld kan worden gefilterd";/core/language/nl.js
"Max length";"Max lengte";/core/language/nl.js
Height;Hoogte;/core/language/nl.js
"Select options";"Keuzemenu opties";/core/language/nl.js
"Field sets";"Groepen velden";/core/language/nl.js
Properties;Eigenschappen;/core/language/nl.js
Enabled;Ingeschakeld;/core/language/nl.js
E-mail;E-mail;/core/language/nl.js
"Confirm password";"Bevestig wachtwoord";/core/language/nl.js
Groups;Groepen;/core/language/nl.js
"No groups selected";"Geen groepen geselecteerd";/core/language/nl.js
"View profile";"Bekijk profiel";/core/language/nl.js
"Created at";"Gemaakt op";/core/language/nl.js
"Modified at";"Gewijzigd op";/core/language/nl.js
"Select groups";"Selecteer groepen";/core/language/nl.js
Date;Datum;/core/language/nl.js
To;Aan;/core/language/nl.js
by;door;/core/language/nl.js
"No items found";"Geen items gevonden";/core/language/nl.js
"New post";"Nieuw bericht";/core/language/nl.js
Title;Titel;/core/language/nl.js
"Group name";"Naam groep";/core/language/nl.js
"Grant permission to new items automatically";"Geef automatisch rechten aan deze groep bij het maken van nieuwe items";/core/language/nl.js
"Enabled modules";"Ingeschakelde modules";/core/language/nl.js
"Use access";Gebruiksrechten;/core/language/nl.js
"Create access";"Aanmaak rechten";/core/language/nl.js
"Users in group";"Gebruikers in groep";/core/language/nl.js
"No users selected";"Geen gebruikers geselecteerd";/core/language/nl.js
Route;Route;/core/language/nl.js
"GET Parameters";"GET Parameters";/core/language/nl.js
"Add parameter";"Parameter toevoegen";/core/language/nl.js
Restore;Herstellen;/core/language/nl.js
Content;Inhoud;/core/language/nl.js
"Add todo item";"Taak toevoegen";/core/language/nl.js
Done;Klaar;/core/language/nl.js
Close;Sluiten;/core/language/nl.js
Filters;Filters;/core/language/nl.js
Reset;Reset;/core/language/nl.js
Pin;Pin;/core/language/nl.js
Gender;Geslacht;/core/language/nl.js
Tags;Tags;/core/language/nl.js
"Enter tags...";"Voer tags in...";/core/language/nl.js
"Add files";"Bestanden toevoegen";/core/language/nl.js
Rename;Hernoemen;/core/language/nl.js
"Phone numbers";Telefoonnummers;/core/language/nl.js
Company;Bedrijf;/core/language/nl.js
yr;jr;/core/language/nl.js
Address;Adres;/core/language/nl.js
Employees;Werknemers;/core/language/nl.js
Notes;Notities;/core/language/nl.js
Files;Bestanden;/core/language/nl.js
Comments;Opmerkingen;/core/language/nl.js
Projects;Projecten;/core/language/nl.js
Contracts;Contracten;/core/language/nl.js
Invoices;Facturen;/core/language/nl.js
Quotes;Offertes;/core/language/nl.js
at;op;/core/language/nl.js
Open;Open;/core/language/nl.js
Unknown;Onbekend;/core/language/nl.js
Male;Man;/core/language/nl.js
Female;Vrouw;/core/language/nl.js
"Special dates";"Speciale datums";/core/language/nl.js
"Add special date";"Voeg datum toe";/core/language/nl.js
"Add e-mail address";"Voeg e-mail adres toe";/core/language/nl.js
Phone;Telefoon;/core/language/nl.js
"Add phone number";"Voeg telefoonnummer toe";/core/language/nl.js
"Add tags...";"Voeg tags toe...";/core/language/nl.js
"Create new company";"Maak bedrijf aan";/core/language/nl.js
Addresses;Adressen;/core/language/nl.js
"Street address";Adres;/core/language/nl.js
"Zip code";Postcode;/core/language/nl.js
City;Stad;/core/language/nl.js
"State / Province / Region";"Staat / Provincie / Regio";/core/language/nl.js
Country;Land;/core/language/nl.js
"Add address";"Adres toevoegen";/core/language/nl.js
"New Comment";"Nieuw bericht";/core/language/nl.js
Timeline;Tijdlijn;/core/language/nl.js
"This name is already taken";"Deze naam is al in gebruik";/core/language/nl.js
"This field is required";"Dit veld is vereist";/core/language/nl.js
"The password is not strong enough.";"Het wachtwoord is te zwak.";/core/language/nl.js
"It must be at least {minLength} characters long.";"Het moet minstens {minLength} karakters lang zijn.";/core/language/nl.js
"It must be at least {minUniqueChars} unique characters.";"Het moet minstens {minUniqueChars} unieke karakters bevatten.";/core/language/nl.js
"It must have an uppercase character.";"Het moet een hoofdletter bevatten.";/core/language/nl.js
"It must have a lowercase character.";"Het moet een kleine letter bevatten.";/core/language/nl.js
"It must have a number in it.";"Het moet een nummer bevatten.";/core/language/nl.js
"The e-mail address is invalid";"Het e-mail adres is ongeldig";/core/language/nl.js
Disabled;Uitgeschakeld;/core/language/nl.js
Checked;Aangevinkt;/core/language/nl.js
UnChecked;Uitgevinkt;/core/language/nl.js
"Login failed";"Inloggen mislukt";/core/language/nl.js
Work;Werk;/core/language/nl.js
Home;Thuis;/core/language/nl.js
